pops,Type,Location,State,Latitude,Longitude,Alt.,Parents
20861,Wild,CARDWELL,QLD,181532S,1460054E,5,20
20645,Wild,TEDDINGTON,QLD,253122S,1524319E,37,12
20593,Wild,HAWKS NEST,NSW,324007S,1521013E,6,8
20591,Wild,WORREL CREEK,NSW,304555S,1525750E,20,11
20502,Wild,LONG JETTY,NSW,332128S,1512858E,2,10
20459,Wild,SYDNEY PLANTED,NSW,335200S,1511200E,90,4
20424,Wild,"Tuggerah Lake, Long Jetty",NSW,332100S,1512800E,5,4
19641,Wild,BALIMO-WASUA ROAD,PNG,080423S,1425520E,0,5
19634,Wild,5KM WEST OF MALAM,PNG,084518S,1423527E,45,5
19225,Wild,BIMEDEBUM,PNG,084100S,1415122E,20,5
19224,Wild,KIRIWO,PNG,081659S,1413213E,45,1
19221,Wild,BENSBACH,PNG,085300S,1411700E,25,5
18551,Wild,JULATTEN,QLD,163600S,1454100E,400,5
17518,Wild,DOHLES ROCKS,QLD,271600S,1530100E,20,10
17517,Wild,BRIBIE ISLAND,QLD,270400S,1531100E,10,10
17516,Wild,GRACEVILLE,QLD,273200S,1530100E,30,1
15936,Wild,S OF PORT MACQUARIE,NSW,313000S,1524000E,1,5
15869,Wild,ROKEBY NP,QLD,134400S,1431900E,500,5
15866,Wild,TOZER'S GAP,QLD,124300S,1431100E,120,8
15583,Wild,CA 78KM NE GYMPIE BY,QLD,254700S,1525000E,40,6
15571,Wild,MORETON IS. E COAST,QLD,270500S,1532600E,5,20
15565,Wild,CALOUNDRA,QLD,264800S,1525900E,90,20
14902,Wild,(VEL AFF)NW M MOLLOY,QLD,163800S,1452300E,375,25
